id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
21829|	21415|	Puerto Aisén|	Puerto Aisén|	puerto-aisen|	152|	21416|	capital|	-45.4035|	-72.6864|
21830|	21415|	Coihaique|	Coihaique|	coihaique|	152|	21424|	capital|	-45.5712|	-72.0682|
21831|	21430|	Antofagasta|	Antofagasta|	antofagasta|	152|	21431|	capital|	NULL|	NULL|
21832|	21430|	Taltal|	Taltal|	taltal|	152|	21431|	capital|	NULL|	NULL|
21833|	21430|	Mejillones|	Mejillones|	mejillones|	152|	21431|	capital|	NULL|	NULL|
21834|	21430|	Calama|	Calama|	calama|	152|	21436|	capital|	NULL|	NULL|
21835|	21430|	María Elena|	María Elena|	maria-elena|	152|	21440|	capital|	NULL|	NULL|
21836|	21430|	Tocopilla|	Tocopilla|	tocopilla|	152|	21440|	capital|	NULL|	NULL|
21837|	21443|	Arica|	Arica|	arica|	152|	21444|	capital|	-18.4782|	-70.3125|
21838|	21450|	Caldera|	Caldera|	caldera|	152|	21454|	capital|	NULL|	NULL|
21839|	21450|	Copiapó|	Copiapó|	copiapo|	152|	21454|	capital|	NULL|	NULL|
21840|	21450|	Tierra Amarilla|	Tierra Amarilla|	tierra-amarilla|	152|	21454|	capital|	NULL|	NULL|
21841|	21450|	Chañaral|	Chañaral|	chanaral|	152|	21451|	capital|	NULL|	NULL|
21842|	21450|	Diego De Almagro|	Diego De Almagro|	diego-de-almagro|	152|	21451|	capital|	NULL|	NULL|
21843|	21450|	El Salvador|	El Salvador|	el-salvador|	152|	21451|	capital|	NULL|	NULL|
21844|	21450|	Huasco|	Huasco|	huasco|	152|	21458|	capital|	NULL|	NULL|
21845|	21450|	Vallenar|	Vallenar|	vallenar|	152|	21458|	capital|	NULL|	NULL|
21846|	21567|	Arauco|	Arauco|	arauco|	152|	21568|	capital|	NULL|	NULL|
21847|	21567|	Cañete|	Cañete|	canete|	152|	21568|	capital|	NULL|	NULL|
21848|	21567|	Curanilahue|	Curanilahue|	curanilahue|	152|	21568|	capital|	NULL|	NULL|
21849|	21567|	Lebu|	Lebu|	lebu|	152|	21568|	capital|	NULL|	NULL|
21850|	21567|	Los Álamos|	Los Álamos|	los-alamos|	152|	21568|	capital|	NULL|	NULL|
21851|	21567|	Cabrero|	Cabrero|	cabrero|	152|	21576|	capital|	NULL|	NULL|
21852|	21567|	Monte Águila|	Monte Águila|	monte-aguila|	152|	21576|	capital|	NULL|	NULL|
21853|	21567|	La Laja|	La Laja|	la-laja|	152|	21576|	capital|	NULL|	NULL|
21854|	21567|	Los Ángeles|	Los Ángeles|	los-angeles|	152|	21576|	capital|	NULL|	NULL|
21855|	21567|	Mulchén|	Mulchén|	mulchen|	152|	21576|	capital|	NULL|	NULL|
21856|	21567|	Nacimiento|	Nacimiento|	nacimiento|	152|	21576|	capital|	NULL|	NULL|
21857|	21567|	San Rosendo|	San Rosendo|	san-rosendo|	152|	21576|	capital|	NULL|	NULL|
21858|	21567|	Santa Bárbara|	Santa Bárbara|	santa-barbara|	152|	21576|	capital|	NULL|	NULL|
21859|	21567|	Huépil|	Huépil|	huepil|	152|	21576|	capital|	NULL|	NULL|
21860|	21567|	Yumbel|	Yumbel|	yumbel|	152|	21576|	capital|	NULL|	NULL|
21861|	21567|	Chiguayante|	Chiguayante|	chiguayante|	152|	21591|	capital|	NULL|	NULL|
21862|	21567|	Concepción|	Concepción|	concepcion|	152|	21591|	capital|	NULL|	NULL|
21863|	21567|	Coronel|	Coronel|	coronel|	152|	21591|	capital|	NULL|	NULL|
21864|	21567|	Hualpén|	Hualpén|	hualpen|	152|	21591|	capital|	NULL|	NULL|
21865|	21567|	Hualqui|	Hualqui|	hualqui|	152|	21591|	capital|	NULL|	NULL|
21866|	21567|	Lota|	Lota|	lota|	152|	21591|	capital|	NULL|	NULL|
21867|	21567|	Penco|	Penco|	penco|	152|	21591|	capital|	NULL|	NULL|
