id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
21422|	21415|	Leticia|	Leticia|	leticia|	152|	21416|	capital|	NULL|	NULL|
21432|	21429|	Caucasia|	Caucasia|	caucasia|	152|	21430|	capital|	NULL|	NULL|
21500|	21429|	Granada|	Granada|	granada|	152|	21493|	capital|	NULL|	NULL|
21504|	21429|	La Ceja|	La Ceja|	la-ceja|	152|	21493|	capital|	NULL|	NULL|
21507|	21429|	Marinilla|	Marinilla|	marinilla|	152|	21493|	capital|	NULL|	NULL|
21512|	21429|	Rionegro|	Rionegro|	rionegro|	152|	21493|	capital|	NULL|	NULL|
21547|	21429|	Apartadó|	Apartadó|	apartado|	152|	21546|	capital|	NULL|	NULL|
21550|	21429|	Carepa|	Carepa|	carepa|	152|	21546|	capital|	NULL|	NULL|
21552|	21429|	Chigorodó|	Chigorodó|	chigorodo|	152|	21546|	capital|	NULL|	NULL|
21556|	21429|	Necocli|	Necocli|	necocli|	152|	21546|	capital|	NULL|	NULL|
21560|	21429|	Turbo|	Turbo|	turbo|	152|	21546|	capital|	NULL|	NULL|
21565|	21429|	Bello|	Bello|	bello|	152|	21563|	capital|	NULL|	NULL|
21567|	21429|	Caldas|	Caldas|	caldas|	152|	21563|	capital|	NULL|	NULL|
21569|	21429|	Copacabana|	Copacabana|	copacabana|	152|	21563|	capital|	NULL|	NULL|
21571|	21429|	Envigado|	Envigado|	envigado|	152|	21563|	capital|	NULL|	NULL|
21573|	21429|	Girardota|	Girardota|	girardota|	152|	21563|	capital|	NULL|	NULL|
21575|	21429|	Itagüi|	Itagüi|	itagui|	152|	21563|	capital|	NULL|	NULL|
21577|	21429|	La Estrella|	La Estrella|	la-estrella|	152|	21563|	capital|	NULL|	NULL|
21579|	21429|	Medellín|	Medellín|	medellin|	152|	21563|	capital|	NULL|	NULL|
21581|	21429|	Sabaneta|	Sabaneta|	sabaneta|	152|	21563|	capital|	NULL|	NULL|
21585|	21583|	Arauca|	Arauca|	arauca|	152|	21584|	capital|	NULL|	NULL|
21592|	21583|	Tame|	Tame|	tame|	152|	21584|	capital|	NULL|	NULL|
21600|	21598|	Barranquilla|	Barranquilla|	barranquilla|	152|	21599|	capital|	NULL|	NULL|
21603|	21598|	Malambo|	Malambo|	malambo|	152|	21599|	capital|	NULL|	NULL|
21606|	21598|	Soledad|	Soledad|	soledad|	152|	21599|	capital|	NULL|	NULL|
21617|	21598|	Baranoa|	Baranoa|	baranoa|	152|	21616|	capital|	NULL|	NULL|
21623|	21598|	Sabanalarga|	Sabanalarga|	sabanalarga|	152|	21616|	capital|	NULL|	NULL|
21633|	21631|	Bogotá D.C.|	Bogotá D.C.|	bogota-d-c|	152|	21632|	capital|	4.59889|	-74.0808|
21643|	21634|	Arjona|	Arjona|	arjona|	152|	21642|	capital|	NULL|	NULL|
21647|	21634|	Cartagena de Indias|	Cartagena|	cartagena|	152|	21642|	capital|	NULL|	NULL|
21656|	21634|	Turbaco|	Turbaco|	turbaco|	152|	21642|	capital|	NULL|	NULL|
21676|	21634|	Magangué|	Magangué|	magangue|	152|	21674|	capital|	NULL|	NULL|
21683|	21634|	Carmen De Bolívar|	Carmen De Bolívar|	carmen-de-bolivar|	152|	21682|	capital|	NULL|	NULL|
21705|	21691|	Tunja|	Tunja|	tunja|	152|	21692|	capital|	NULL|	NULL|
21761|	21691|	Chiquinquirá|	Chiquinquirá|	chiquinquira|	152|	21757|	capital|	NULL|	NULL|
