id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
8180|	1|	Almería|	Almería|	almeria|	152|	2|	capital|	37.1035|	-2.3024|
8181|	1|	Cádiz|	Cádiz|	cadiz|	152|	105|	capital|	36.527|	-6.2884|
8182|	1|	Córdoba|	Córdoba|	cordoba|	152|	150|	capital|	37.8882|	-4.7794|
8183|	1|	Granada|	Granada|	granada|	152|	226|	capital|	37.1773|	-3.5985|
8184|	1|	Huelva|	Huelva|	huelva|	152|	395|	capital|	37.2614|	-6.9447|
8185|	1|	Jaén|	Jaén|	jaen|	152|	475|	capital|	37.7795|	-3.7849|
8186|	1|	Málaga|	Málaga|	malaga|	152|	573|	capital|	36.7212|	-4.4213|
8187|	1|	Sevilla|	Sevilla|	sevilla|	152|	674|	capital|	37.389|	-5.9844|
8188|	780|	Huesca|	Huesca|	huesca|	152|	781|	capital|	42.1318|	-0.4078|
8189|	780|	Teruel|	Teruel|	teruel|	152|	984|	capital|	40.3456|	-1.1064|
8190|	780|	Zaragoza|	Zaragoza|	zaragoza|	152|	1221|	capital|	41.6488|	-0.8897|
8192|	1686|	Santander|	Santander|	santander|	152|	1687|	capital|	43.4623|	-3.8099|
8193|	2715|	Ávila|	Ávila|	avila|	152|	2716|	capital|	40.6421|	-4.6657|
8194|	1790|	Albacete|	Albacete|	albacete|	152|	1791|	capital|	38.9944|	-1.8585|
8195|	1790|	Ciudad Real|	Ciudad Real|	ciudad-real|	152|	1879|	capital|	38.9831|	-3.9671|
8196|	1790|	Cuenca|	Cuenca|	cuenca|	152|	1982|	capital|	40.0703|	-2.1374|
8197|	1790|	Guadalajara|	Guadalajara|	guadalajara|	152|	2221|	capital|	40.6324|	-3.1601|
8198|	1790|	Toledo|	Toledo|	toledo|	152|	2510|	capital|	39.8628|	-4.0273|
8199|	2715|	Burgos|	Burgos|	burgos|	152|	2965|	capital|	42.3439|	-3.6969|
8200|	2715|	León|	León|	leon|	152|	3337|	capital|	42.5987|	-5.567|
8201|	2715|	Palencia|	Palencia|	palencia|	152|	3549|	capital|	42.0096|	-4.5288|
8202|	2715|	Salamanca|	Salamanca|	salamanca|	152|	3741|	capital|	40.9701|	-5.6635|
8203|	2715|	Soria|	Soria|	soria|	152|	4314|	capital|	41.7665|	-2.479|
8204|	2715|	Valladolid|	Valladolid|	valladolid|	152|	4498|	capital|	41.6522|	-4.7245|
8205|	2715|	Segovia|	Segovia|	segovia|	152|	4104|	capital|	40.9429|	-4.1088|
8206|	4973|	Barcelona|	Barcelona|	barcelona|	152|	4974|	capital|	41.385|	2.1734|
8208|	4973|	Gerona|	Gerona|	gerona|	152|	5286|	capital|	42.0407|	2.9375|
8210|	4973|	Lérida|	Lérida|	lerida|	152|	5508|	capital|	41.6175|	0.62|
8211|	4973|	Tarragona|	Tarragona|	tarragona|	152|	5740|	capital|	41.1188|	1.2444|
8213|	8178|	Ceuta|	Ceuta|	ceuta|	152|	8212|	capital|	35.8893|	-5.3213|
8219|	5924|	Badajoz|	Badajoz|	badajoz|	152|	5925|	capital|	38.8794|	-6.9706|
