id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
285995|	9494|	Aguascalientes|	Aguascalientes|	aguascalientes|	152|	9495|	capital|	NULL|	NULL|
285996|	9494|	Asientos|	Asientos|	asientos|	152|	10160|	capital|	NULL|	NULL|
285997|	9494|	Calvillo|	Calvillo|	calvillo|	152|	10383|	capital|	NULL|	NULL|
285998|	9494|	Cosío|	Cosío|	cosio|	152|	10684|	capital|	NULL|	NULL|
285999|	9494|	Jesús María |	Jesús María |	jesus-maria|	152|	10770|	capital|	NULL|	NULL|
286000|	9494|	Pabellón de Arteaga|	Pabellón de Arteaga|	pabellon-de-arteaga|	152|	11089|	capital|	NULL|	NULL|
286001|	9494|	Rincón de Romos|	Rincón de Romos|	rincon-de-romos|	152|	11346|	capital|	NULL|	NULL|
286002|	9494|	San Francisco de los Romo|	San Francisco de los Romo|	san-francisco-de-los-romo|	152|	12117|	capital|	NULL|	NULL|
286003|	9494|	Tepezalá|	Tepezalá|	tepezala|	152|	11782|	capital|	NULL|	NULL|
286004|	12231|	Rodolfo Sánchez T. (Maneadero)|	Rodolfo Sánchez T. (Maneadero)|	rodolfo-sanchez-t-maneadero|	152|	12232|	capital|	NULL|	NULL|
286005|	12231|	Ensenada|	Ensenada|	ensenada|	152|	12232|	capital|	NULL|	NULL|
286006|	12231|	Mexicali|	Mexicali|	mexicali|	152|	14673|	capital|	NULL|	NULL|
286007|	12231|	San Felipe|	San Felipe|	san-felipe|	152|	14673|	capital|	NULL|	NULL|
286008|	12231|	Playas de Rosarito|	Playas de Rosarito|	playas-de-rosarito|	152|	17892|	capital|	NULL|	NULL|
286009|	12231|	Tecate|	Tecate|	tecate|	152|	16623|	capital|	NULL|	NULL|
286010|	12231|	Tijuana|	Tijuana|	tijuana|	152|	17345|	capital|	NULL|	NULL|
286011|	18180|	Ciudad Constitución|	Ciudad Constitución|	ciudad-constitucion|	152|	18181|	capital|	NULL|	NULL|
286012|	18180|	Puerto Adolfo López Mateos|	Puerto Adolfo López Mateos|	puerto-adolfo-lopez-mateos|	152|	18181|	capital|	NULL|	NULL|
286013|	18180|	La Paz|	La Paz|	la-paz|	152|	20008|	capital|	NULL|	NULL|
286014|	18180|	Todos Santos|	Todos Santos|	todos-santos|	152|	20008|	capital|	NULL|	NULL|
286015|	18180|	Loreto|	Loreto|	loreto|	152|	21916|	capital|	NULL|	NULL|
286016|	18180|	San José del Cabo|	San José del Cabo|	san-jose-del-cabo|	152|	21240|	capital|	NULL|	NULL|
286017|	18180|	Cabo San Lucas|	Cabo San Lucas|	cabo-san-lucas|	152|	21240|	capital|	NULL|	NULL|
286018|	18180|	Heroica Mulegé|	Heroica Mulegé|	heroica-mulege|	152|	19393|	capital|	NULL|	NULL|
286019|	18180|	Santa Rosalía|	Santa Rosalía|	santa-rosalia|	152|	19393|	capital|	NULL|	NULL|
286020|	18180|	San Ignacio|	San Ignacio|	san-ignacio|	152|	19393|	capital|	NULL|	NULL|
286021|	18180|	Villa Alberto Andrés Alvarado Arámburo|	Villa Alberto Andrés Alvarado Arámburo|	villa-alberto-andres-alvarado-aramburo|	152|	19393|	capital|	NULL|	NULL|
286022|	18180|	Guerrero Negro|	Guerrero Negro|	guerrero-negro|	152|	19393|	capital|	NULL|	NULL|
286023|	22134|	Calkini|	Calkini|	calkini|	152|	22135|	capital|	NULL|	NULL|
286024|	22134|	San Francisco de Campeche|	San Francisco de Campeche|	san-francisco-de-campeche|	152|	22262|	capital|	NULL|	NULL|
286025|	22134|	Candelaria|	Candelaria|	candelaria|	152|	25254|	capital|	NULL|	NULL|
286026|	22134|	Ciudad del Carmen|	Ciudad del Carmen|	ciudad-del-carmen|	152|	22635|	capital|	NULL|	NULL|
286027|	22134|	Sabancuy|	Sabancuy|	sabancuy|	152|	22635|	capital|	NULL|	NULL|
286028|	22134|	Champotón|	Champotón|	champoton|	152|	23611|	capital|	NULL|	NULL|
286029|	22134|	Escárcega|	Escárcega|	escarcega|	152|	24665|	capital|	NULL|	NULL|
286030|	22134|	Hecelchakán|	Hecelchakán|	hecelchakan|	152|	24104|	capital|	NULL|	NULL|
286031|	22134|	Pomuch|	Pomuch|	pomuch|	152|	24104|	capital|	NULL|	NULL|
286032|	22134|	Hopelchén|	Hopelchén|	hopelchen|	152|	24169|	capital|	NULL|	NULL|
286033|	38799|	Acala|	Acala|	acala|	152|	38939|	capital|	NULL|	NULL|
286034|	38799|	Arriaga|	Arriaga|	arriaga|	152|	39930|	capital|	NULL|	NULL|
286035|	38799|	Cacahoatán|	Cacahoatán|	cacahoatan|	152|	40929|	capital|	NULL|	NULL|
286036|	38799|	Chiapa de Corzo|	Chiapa de Corzo|	chiapa-de-corzo|	152|	43327|	capital|	NULL|	NULL|
286037|	38799|	Cintalapa de Figueroa|	Cintalapa de Figueroa|	cintalapa-de-figueroa|	152|	41236|	capital|	NULL|	NULL|
286038|	38799|	Comitán de Domínguez|	Comitán de Domínguez|	comitan-de-dominguez|	152|	41932|	capital|	NULL|	NULL|
286039|	38799|	Huixtla|	Huixtla|	huixtla|	152|	45459|	capital|	NULL|	NULL|
286040|	38799|	Jiquipilas|	Jiquipilas|	jiquipilas|	152|	46011|	capital|	NULL|	NULL|
286041|	38799|	Las Margaritas|	Las Margaritas|	las-margaritas|	152|	47222|	capital|	NULL|	NULL|
286042|	38799|	Las Rosas|	Las Rosas|	las-rosas|	152|	52176|	capital|	NULL|	NULL|
286043|	38799|	Mapastepec|	Mapastepec|	mapastepec|	152|	46692|	capital|	NULL|	NULL|
286044|	38799|	Motozintla de Mendoza|	Motozintla de Mendoza|	motozintla-de-mendoza|	152|	47875|	capital|	NULL|	NULL|
286045|	38799|	Ocosingo|	Ocosingo|	ocosingo|	152|	48221|	capital|	NULL|	NULL|
286046|	38799|	Ocozocoautla de Espinosa|	Ocozocoautla de Espinosa|	ocozocoautla-de-espinosa|	152|	49115|	capital|	NULL|	NULL|
286047|	38799|	Palenque|	Palenque|	palenque|	152|	50108|	capital|	NULL|	NULL|
286048|	38799|	Pichucalco|	Pichucalco|	pichucalco|	152|	50936|	capital|	NULL|	NULL|
286049|	38799|	Pijijiapan|	Pijijiapan|	pijijiapan|	152|	51019|	capital|	NULL|	NULL|
