id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude	longitude
23915|	23914|	Azul|	Azul|	azul|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23916|	23914|	Bahía Blanca|	Bahía Blanca|	bahia-blanca|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23917|	23914|	Banfield|	Banfield|	banfield|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23918|	23914|	Béccar|	Béccar|	beccar|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23919|	23914|	Belén de Escobar|	Belén de Escobar|	belen-de-escobar|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23920|	23914|	Bella Vista|	Bella Vista|	bella-vista|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23921|	23914|	Berazategui|	Berazategui|	berazategui|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23922|	23914|	Berisso|	Berisso|	berisso|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23923|	23914|	Bernal|	Bernal|	bernal|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23924|	23914|	Bosques|	Bosques|	bosques|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23925|	23914|	Boulogne Sur Mer|	Boulogne Sur Mer|	boulogne-sur-mer|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23926|	23914|	Burzaco|	Burzaco|	burzaco|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23927|	23914|	Campana|	Campana|	campana|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23928|	23914|	Caseros|	Caseros|	caseros|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23929|	23914|	Castelar|	Castelar|	castelar|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23930|	23914|	Chivilcoy|	Chivilcoy|	chivilcoy|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23931|	23914|	Ciudad Evita|	Ciudad Evita|	ciudad-evita|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23932|	23914|	Ciudad Jardín El Libertador|	Ciudad Jardín El Libertador|	ciudad-jardin-el-libertador|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23933|	23914|	Ciudadela|	Ciudadela|	ciudadela|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23934|	23914|	Don Torcuato|	Don Torcuato|	don-torcuato|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23935|	23914|	El Jagüel|	El Jagüel|	el-jaguel|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23936|	23914|	El Palomar|	El Palomar|	el-palomar|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23937|	23914|	Ezeiza|	Ezeiza|	ezeiza|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23938|	23914|	Ezpeleta|	Ezpeleta|	ezpeleta|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23939|	23914|	Florencio Varela|	Florencio Varela|	florencio-varela|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23940|	23914|	Florida (no es ciudad sino barrio)|	Florida (no es ciudad sino barrio)|	florida-no-es-ciudad-sino-barrio|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23941|	23914|	General Rodríguez|	General Rodríguez|	general-rodriguez|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23942|	23914|	Glew|	Glew|	glew|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23943|	23914|	Gobernador Julio A Costa|	Gobernador Julio A Costa|	gobernador-julio-a-costa|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23944|	23914|	González Catán|	González Catán|	gonzalez-catan|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23945|	23914|	Grand Bourg|	Grand Bourg|	grand-bourg|	NULL|	NULL|	otros|	NULL|	NULL|	1|
23946|	23914|	Gregorio de Laferrere|	Gregorio de Laferrere|	gregorio-de-laferrere|	NULL|	NULL|	otros|	NULL|	NULL|	1|
